v4_0,financial-and-calendar-years,Time,uk-only,Geography,quintile,Quintile,averages-and-percentiles,AveragesAndPercentiles,income-type,Income,value-deflation,Deflation
28551,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
7254,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
5062,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
33511,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
31620,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
26201,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
57033,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
50762,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
9094,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
21818,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
17029,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
13970,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
10603,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
15109,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
19049,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
22147,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
4275,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
26455,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
31942,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
615,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
1419,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
11955,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
8536,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
6607,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
15193,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
24456,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
22833,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
3154,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
